000038	深大通
000536	华映科技
000587	金洲慈航
000903	云内动力
000939	凯迪生态
002065	东华软件
002089	新海宜
002131	利欧股份
002148	北纬通信
002169	智光电气
002185	华天科技
002206	海利得
002277	友阿股份
002315	焦点科技
002349	精华制药
002425	凯撒文化
002429	兆驰股份
002456	欧菲光
002464	金利科技
002537	海立美达
002578	闽发铝业
002596	海南瑞泽
002600	江粉磁材
002643	万润股份
002677	浙江美大
002694	顾地科技
002699	美盛文化
002727	一心堂
002747	埃斯顿
002801	微光股份
300012	华测检测
300021	大禹节水
300062	中能电气
300072	三聚环保
300104	乐视网
300110	华仁药业
300194	福安药业
300213	佳讯飞鸿
300230	永利股份
300285	国瓷材料
300296	利亚德
300298	三诺生物
300317	珈伟股份
300377	赢时胜
300379	东方通
300395	菲利华
300398	飞凯材料
300400	劲拓股份
300403	地尔汉宇
300422	博世科
300458	全志科技
300464	星徽精密
300466	赛摩电气
300482	万孚生物
300493	润欣科技
300500	苏州设计
300510	金冠电气
300515	三德科技
300526	中潜股份
300543	朗科智能
300546	雄帝科技
300549	优德精密
300562	乐心医疗
600568	中珠医疗
600892	大晟文化
603007	花王股份
603009	北特科技
603066	音飞储存
603077	和邦生物
603528	多伦科技
603766	隆鑫通用
